# time site_0 site_1 site_2 site_3 site_4 site_5 site_6 site_7 site_8 site_9 site_10 site_11 site_12 site_13 site_14 site_15 site_16 site_17 site_18 site_19 site_20 site_21 site_22 site_23 site_24 site_25 site_26 site_27 site_28 site_29 site_30 site_31 site_32 site_33 site_34 site_35 site_36 site_37 site_38 site_39 site_40 site_41 site_42 site_43 site_44 site_45 site_46 site_47 site_48 site_49
1.00000000e+00 8.40624091e-02 4.26000851e-01 5.08667486e-01 3.04348960e-02 -4.22894138e-01 -7.19889972e-01 -4.32086376e-01 2.03586524e-01 3.24675633e-01 8.49807772e-02 -1.99529494e-01 4.43476368e-01 3.83760231e-01 -2.86882347e-01 -5.92519181e-01 -5.53677568e-01 -3.35469295e-01 -1.40518803e-01 -1.63012985e-01 -1.62053099e-01 -2.19344367e-01 -3.63305924e-01 -4.54720328e-01 -2.42162520e-01 1.90715223e-02 5.76263519e-02 -9.73936718e-02 -1.12761932e-01 -1.60561435e-01 -2.83128470e-01 -3.06558538e-01 -4.73620244e-01 -4.09320708e-01 5.17055713e-01 7.79181803e-01 4.38491282e-01 -2.51052627e-01 -3.31805683e-01 -9.46049242e-02 -1.95579899e-01 -3.39220510e-01 -4.34728413e-01 -2.84252911e-01 8.56323036e-02 1.48455162e-02 -6.94785800e-02 -6.06703920e-02 -6.57321253e-02 -9.02616703e-02 -4.60360096e-01
1.10000000e+00 1.42761570e-01 3.46948561e-01 5.04776441e-01 7.50341978e-03 -3.81423712e-01 -7.10761027e-01 -3.64430986e-01 1.21545785e-01 3.31499937e-01 4.08742017e-02 -7.91112946e-02 3.64180753e-01 3.30628856e-01 -2.40572617e-01 -5.78063773e-01 -5.37944297e-01 -3.27917795e-01 -1.73136626e-01 -1.66484134e-01 -1.25770036e-01 -2.85780784e-01 -3.09829065e-01 -4.54095037e-01 -2.36935833e-01 2.92234104e-02 -2.12507041e-02 -2.09744478e-02 -1.34606524e-01 -2.12429051e-01 -1.89221053e-01 -3.83956892e-01 -4.41903068e-01 -3.32461367e-01 4.56917122e-01 7.41230792e-01 4.07647503e-01 -2.20942521e-01 -2.55300829e-01 -1.68576446e-01 -2.09294151e-01 -2.75651878e-01 -4.90528385e-01 -1.89771105e-01 -2.50557043e-02 8.37913929e-02 -1.24634588e-01 -1.43507760e-02 -8.15554279e-02 -1.22937498e-01 -4.29479874e-01
1.20000000e+00 2.02848975e-01 2.67658504e-01 4.96221862e-01 -1.36999249e-02 -3.40636634e-01 -6.95786655e-01 -2.99410987e-01 4.14392017e-02 3.33008969e-01 8.94373141e-04 3.93639696e-02 2.85863688e-01 2.74787823e-01 -1.94863670e-01 -5.60586767e-01 -5.21045699e-01 -3.21069245e-01 -2.06242761e-01 -1.69664968e-01 -9.18691397e-02 -3.49520514e-01 -2.58524808e-01 -4.50588547e-01 -2.31273934e-01 3.63424021e-02 -9.78501957e-02 5.26778107e-02 -1.55829960e-01 -2.62200272e-01 -9.90125566e-02 -4.57745857e-01 -4.09609767e-01 -2.55255032e-01 3.97750376e-01 6.98003970e-01 3.76141188e-01 -1.87959004e-01 -1.79398189e-01 -2.41462174e-01 -2.23523854e-01 -2.14140263e-01 -5.40539647e-01 -1.00127225e-01 -1.31749148e-01 1.47513912e-01 -1.75868589e-01 2.96629939e-02 -9.68105492e-02 -1.56482794e-01 -3.97440251e-01
1.30000000e+00 2.63408784e-01 1.89604974e-01 4.82338147e-01 -3.25654562e-02 -3.01286331e-01 -6.74274909e-01 -2.38610096e-01 -3.49889235e-02 3.28355854e-01 -3.35993984e-02 1.53335814e-01 2.10133125e-01 2.16865151e-01 -1.50769519e-01 -5.39867851e-01 -5.03048204e-01 -3.15176870e-01 -2.39275784e-01 -1.72506188e-01 -6.13910959e-02 -4.08908027e-01 -2.10683911e-01 -4.43780581e-01 -2.25214649e-01 3.97945372e-02 -1.70364513e-01 1.21655784e-01 -1.75909339e-01 -3.08570325e-01 -1.48463967e-02 -5.25870261e-01 -3.77191618e-01 -1.79114874e-01 3.40773003e-01 6.49414325e-01 3.44411887e-01 -1.52249378e-01 -1.05632938e-01 -3.11638745e-01 -2.38099321e-01 -1.56169909e-01 -5.82866721e-01 -1.77491237e-02 -2.31851002e-01 2.03986972e-01 -2.21619115e-01 7.01773223e-02 -1.11169111e-01 -1.90350455e-01 -3.64654302e-01
1.40000000e+00 3.23533498e-01 1.14198766e-01 4.62581834e-01 -4.85887706e-02 -2.64015875e-01 -6.45704368e-01 -1.83432911e-01 -1.06167032e-01 3.16889588e-01 -6.14508423e-02 2.60420478e-01 1.38476196e-01 1.57530048e-01 -1.09257892e-01 -5.15749712e-01 -4.84016406e-01 -3.10465533e-01 -2.71685320e-01 -1.74993205e-01 -3.52689226e-02 -4.62435525e-01 -1.67461363e-01 -4.33337610e-01 -2.18805424e-01 3.90527970e-02 -2.37142361e-01 1.84192355e-01 -1.94356178e-01 -3.50344920e-01 6.11340597e-02 -5.86440065e-01 -3.45062449e-01 -1.05394325e-01 2.87088382e-01 5.95492700e-01 3.12872063e-01 -1.14023880e-01 -3.54461441e-02 -3.77564161e-01 -2.52851275e-01 -1.03091518e-01 -6.15853545e-01 5.52045042e-02 -3.23027008e-01 2.51430944e-01 -2.60522748e-01 1.06122137e-01 -1.24355324e-01 -2.23976209e-01 -3.31541088e-01
1.50000000e+00 3.82339520e-01 4.27560199e-02 4.36556096e-01 -6.13896650e-02 -2.29337326e-01 -6.09751947e-01 -1.35062249e-01 -1.70739960e-01 2.98186921e-01 -8.17484297e-02 3.58470464e-01 7.22208931e-02 9.74859257e-02 -7.12268376e-02 -4.88149587e-01 -4.64012637e-01 -3.07123549e-01 -3.02943375e-01 -1.77149282e-01 -1.42999479e-02 -5.08785459e-01 -1.29841502e-01 -4.19028927e-01 -2.12103559e-01 3.37187002e-02 -2.96735105e-01 2.38707865e-01 -2.10729426e-01 -3.86473726e-01 1.27046460e-01 -6.37782497e-01 -3.13588219e-01 -3.53571518e-02 2.37654150e-01 5.36401820e-01 2.81897648e-01 -7.35606453e-02 2.98509113e-02 -4.37814442e-01 -2.67612336e-01 -5.60844850e-02 -6.38138969e-01 1.16910133e-01 -4.03273211e-01 2.88369747e-01 -2.91458882e-01 1.36581902e-01 -1.36155082e-01 -2.56787110e-01 -2.98519214e-01
1.60000000e+00 4.38981797e-01 -2.35299502e-02 4.04030725e-01 -7.07262658e-02 -1.97616492e-01 -5.66313765e-01 -9.44244295e-02 -2.27604469e-01 2.72075916e-01 -9.38584213e-02 4.45626001e-01 1.25031992e-02 3.74619823e-02 -3.74829757e-02 -4.57068796e-01 -4.43096940e-01 -3.05295364e-01 -3.32555211e-01 -1.79036995e-01 8.77661276e-04 -5.46866743e-01 -9.86089248e-02 -4.00739372e-01 -2.05176055e-01 2.35396552e-02 -3.47936529e-01 2.83851630e-01 -2.24647183e-01 -4.16079273e-01 1.81322361e-01 -6.78487427e-01 -2.83078494e-01 2.98496859e-02 1.93255541e-01 4.72446057e-01 2.51820013e-01 -3.12086889e-02 8.91083342e-02 -4.91116887e-01 -2.82218002e-01 -1.61249229e-02 -6.48702358e-01 1.65933738e-01 -4.70971789e-01 3.13677291e-01 -3.13585998e-01 1.60821080e-01 -1.46422439e-01 -2.88210764e-01 -2.66000308e-01
1.70000000e+00 4.92667263e-01 -8.36131359e-02 3.64956900e-01 -7.65038060e-02 -1.69063676e-01 -5.15518260e-01 -6.21636433e-02 -2.75935538e-01 2.38650254e-01 -9.74480943e-02 5.20357017e-01 -3.97594071e-02 -2.17966053e-02 -8.72195789e-03 -4.22599911e-01 -4.21327435e-01 -3.05075325e-01 -3.60069537e-01 -1.80757883e-01 9.80309235e-03 -5.75843616e-01 -7.43261395e-02 -3.78478219e-01 -1.98099068e-01 8.42144024e-03 -3.89814813e-01 3.18536558e-01 -2.35796838e-01 -4.38480423e-01 2.22750505e-01 -7.07444669e-01 -2.53780115e-01 8.92197071e-02 1.54484513e-01 4.04076432e-01 2.22919567e-01 1.26113569e-02 1.41364256e-01 -5.36379093e-01 -2.96507144e-01 1.60395643e-02 -6.46897798e-01 2.01271695e-01 -5.24933422e-01 3.26611798e-01 -3.26368246e-01 1.78303244e-01 -1.55083211e-01 -3.17685174e-01 -2.34382523e-01
1.80000000e+00 5.42666810e-01 -1.36615048e-01 3.19476245e-01 -7.87776977e-02 -1.43730780e-01 -4.57730992e-01 -3.86261766e-02 -3.15202639e-01 1.98273630e-01 -9.24983318e-02 5.81494526e-01 -8.38873490e-02 -7.95397536e-02 1.44883927e-02 -3.84931256e-01 -3.98761101e-01 -3.06502754e-01 -3.85087766e-01 -1.82450244e-01 1.22052586e-02 -5.95156301e-01 -5.73186362e-02 -3.52383893e-01 -1.90956937e-01 -1.15646545e-02 -4.21735810e-01 3.41965926e-01 -2.43943324e-01 -4.53209747e-01 2.50509237e-01 -7.23872177e-01 -2.25873247e-01 1.41906556e-01 1.21725286e-01 3.31890485e-01 1.95421159e-01 5.74089193e-02 1.85865800e-01 -5.72713009e-01 -3.10322028e-01 3.99076511e-02 -6.32475788e-01 2.22376981e-01 -5.64424928e-01 3.26836869e-01 -3.29591469e-01 1.88703295e-01 -1.62135551e-01 -3.44669031e-01 -2.04044167e-01
1.90000000e+00 5.88325570e-01 -1.81840217e-01 2.67923820e-01 -7.77507572e-02 -1.21514874e-01 -3.93550902e-01 -2.38549501e-02 -3.45175572e-01 1.51574020e-01 -7.93051370e-02 6.28250665e-01 -1.19450784e-01 -1.35024633e-01 3.17218241e-02 -3.44348532e-01 -3.75454939e-01 -3.09558490e-01 -4.07272106e-01 -1.84285100e-01 8.00900418e-03 -6.04532900e-01 -4.76678449e-02 -3.22724280e-01 -1.83840811e-01 -3.61803100e-02 -4.43376951e-01 3.53651597e-01 -2.48935298e-01 -4.60024313e-01 2.64187151e-01 -7.27334370e-01 -1.99469925e-01 1.87239171e-01 9.51467516e-02 2.56626852e-01 1.69491384e-01 1.02627682e-01 2.22083832e-01 -5.99453434e-01 -3.23507917e-01 5.52341381e-02 -6.05591763e-01 2.29169895e-01 -5.89181402e-01 3.14428698e-01 -3.23368178e-01 1.91912436e-01 -1.67647495e-01 -3.68652281e-01 -1.75337584e-01
